epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5089,1.28259,1.02998,1.13808,0.98794,0.99024,0.9936,0.68843,1.07349,0.52066,0.99305,0.000236678,0.000236678,0.000236678
2,44.2468,1.1234,0.60545,1.05025,0.97399,0.98373,0.99294,0.70792,1.0528,0.54391,0.9867,0.000451181,0.000451181,0.000451181
3,62.8253,1.08914,0.5839,1.03184,0.98641,0.99268,0.99447,0.75074,0.96374,0.47434,0.96493,0.000642123,0.000642123,0.000642123
4,81.3019,1.06376,0.5604,1.03612,0.99146,0.97234,0.99029,0.71898,0.97307,0.48356,0.95467,0.000607971,0.000607971,0.000607971
5,99.692,1.04159,0.54723,1.01208,0.99457,0.9943,0.99479,0.77379,0.9114,0.44807,0.93828,0.000572628,0.000572628,0.000572628
6,118.23,0.9773,0.50388,0.99104,0.99266,0.99003,0.99462,0.77136,0.90878,0.42851,0.93961,0.000537285,0.000537285,0.000537285
7,136.382,0.94488,0.48656,0.97801,0.99642,0.99512,0.99493,0.77638,0.89666,0.41227,0.92989,0.000501942,0.000501942,0.000501942
8,154.236,0.92124,0.45885,0.96667,0.9935,0.99443,0.99488,0.7724,0.89866,0.40732,0.92753,0.000466599,0.000466599,0.000466599
9,173.074,0.90343,0.46303,0.96471,0.99431,0.99569,0.99479,0.79909,0.8695,0.39032,0.91502,0.000431256,0.000431256,0.000431256
10,190.49,0.87407,0.43614,0.95361,0.99746,0.99756,0.99495,0.81041,0.81977,0.37192,0.90083,0.000395913,0.000395913,0.000395913
11,209.415,0.84097,0.40556,0.91608,0.9959,0.99512,0.99475,0.80786,0.81718,0.38344,0.91044,0.00036057,0.00036057,0.00036057
12,227.611,0.82351,0.39638,0.91537,0.9982,0.99837,0.99488,0.80409,0.83376,0.38396,0.90478,0.000325227,0.000325227,0.000325227
13,245.938,0.79352,0.37621,0.91468,0.99577,0.99756,0.99488,0.81407,0.789,0.36356,0.89687,0.000289884,0.000289884,0.000289884
14,264.443,0.77627,0.36489,0.90628,0.99746,0.99756,0.9948,0.81878,0.81169,0.36111,0.89938,0.000254541,0.000254541,0.000254541
15,282.321,0.75146,0.35538,0.89869,0.99654,0.99756,0.99476,0.81938,0.79215,0.34957,0.89593,0.000219198,0.000219198,0.000219198
16,300.807,0.73093,0.33909,0.89273,0.99735,0.99756,0.99484,0.83153,0.77859,0.34284,0.88934,0.000183855,0.000183855,0.000183855
17,319.094,0.7201,0.33446,0.88657,0.99659,0.99675,0.99488,0.8269,0.79072,0.33272,0.88923,0.000148512,0.000148512,0.000148512
18,337.251,0.70589,0.3286,0.88133,0.99743,0.99756,0.9949,0.84518,0.74741,0.32008,0.88122,0.000113169,0.000113169,0.000113169
19,355.338,0.66144,0.30862,0.86608,0.99738,0.99756,0.99492,0.8474,0.72222,0.30761,0.87638,7.7826e-05,7.7826e-05,7.7826e-05
20,373.571,0.66717,0.30294,0.86977,0.99739,0.99756,0.99493,0.84758,0.71808,0.30127,0.87344,4.2483e-05,4.2483e-05,4.2483e-05
