epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6611,1.25746,1.00387,1.13898,0.97944,0.98309,0.99434,0.71528,1.03038,0.50034,1.00736,0.000236734,0.000236734,0.000236734
2,42.4466,1.09747,0.59961,1.04479,0.94876,0.93895,0.98045,0.71675,1.0281,0.56749,0.99513,0.000465334,0.000465334,0.000465334
3,59.3413,1.09532,0.5897,1.04724,0.98797,0.95059,0.97938,0.68846,1.08201,0.5314,1.01929,0.00068451,0.00068451,0.00068451
4,76.3323,1.07383,0.56889,1.03386,0.98696,0.98448,0.99412,0.74063,0.97207,0.47382,0.98585,0.000671588,0.000671588,0.000671588
5,93.72,1.02247,0.53582,1.01904,0.98076,0.9941,0.99457,0.76992,0.93294,0.44816,0.97154,0.000657451,0.000657451,0.000657451
6,112.538,0.97625,0.50121,0.99566,0.99324,0.95584,0.98089,0.75131,0.93952,0.45322,0.99959,0.000643314,0.000643314,0.000643314
7,129.875,0.99221,0.51508,1.00309,0.99797,0.9922,0.99499,0.76819,0.91786,0.42835,0.9647,0.000629177,0.000629177,0.000629177
8,147.674,0.94103,0.48303,0.97727,0.99983,1,0.995,0.79212,0.85295,0.41396,0.9447,0.00061504,0.00061504,0.00061504
9,164.743,0.93668,0.47895,0.98557,0.99325,0.9961,0.99428,0.79271,0.85302,0.39145,0.93868,0.000600902,0.000600902,0.000600902
10,182.175,0.88648,0.44947,0.95621,0.9987,0.99845,0.99491,0.80809,0.8098,0.37414,0.93275,0.000586765,0.000586765,0.000586765
11,199.918,0.90458,0.45104,0.96395,0.99976,0.9987,0.995,0.80392,0.84268,0.37749,0.93683,0.000572628,0.000572628,0.000572628
12,217.84,0.89477,0.45491,0.95609,0.99959,1,0.995,0.79983,0.85346,0.37272,0.93269,0.000558491,0.000558491,0.000558491
13,235.442,0.86268,0.43754,0.94233,0.99958,0.9987,0.995,0.81385,0.79131,0.36812,0.92205,0.000544354,0.000544354,0.000544354
14,252.247,0.87991,0.43908,0.95647,0.99971,1,0.995,0.80612,0.804,0.36368,0.93097,0.000530216,0.000530216,0.000530216
15,268.862,0.85685,0.42894,0.94001,0.99853,0.9987,0.99493,0.82434,0.77359,0.35597,0.91639,0.000516079,0.000516079,0.000516079
16,286.991,0.8447,0.42398,0.94156,0.99848,1,0.99499,0.8206,0.79278,0.35775,0.91663,0.000501942,0.000501942,0.000501942
17,304.728,0.82559,0.41512,0.94034,0.99986,1,0.995,0.82671,0.77738,0.34324,0.91485,0.000487805,0.000487805,0.000487805
18,322.8,0.81987,0.40979,0.93329,0.99969,1,0.995,0.83142,0.75014,0.33352,0.91073,0.000473668,0.000473668,0.000473668
19,340.493,0.82678,0.40758,0.94517,0.99974,1,0.995,0.8344,0.73727,0.33045,0.90251,0.00045953,0.00045953,0.00045953
20,357.836,0.79783,0.39098,0.91962,0.99929,1,0.995,0.84017,0.7423,0.32806,0.90719,0.000445393,0.000445393,0.000445393
21,375.594,0.8014,0.39578,0.92589,0.99983,1,0.995,0.82769,0.77326,0.33221,0.91598,0.000431256,0.000431256,0.000431256
22,393.041,0.78508,0.38984,0.91967,0.99984,1,0.995,0.83645,0.72786,0.31642,0.90174,0.000417119,0.000417119,0.000417119
23,411.157,0.77947,0.38145,0.91669,0.99973,1,0.995,0.84012,0.72763,0.32371,0.90302,0.000402982,0.000402982,0.000402982
24,428.601,0.76141,0.38223,0.9186,0.99975,1,0.995,0.8382,0.74114,0.31828,0.89825,0.000388844,0.000388844,0.000388844
25,446.152,0.75856,0.37768,0.91391,0.99984,1,0.995,0.8514,0.70077,0.31004,0.89614,0.000374707,0.000374707,0.000374707
26,463.035,0.77674,0.38211,0.92484,1,0.99978,0.995,0.84108,0.72636,0.3138,0.89881,0.00036057,0.00036057,0.00036057
