epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,480.185,0.74135,0.3709,0.91363,0.99992,1,0.995,0.84797,0.70284,0.30802,0.89016,0.000346433,0.000346433,0.000346433
28,497.115,0.75971,0.36867,0.91118,0.99967,1,0.995,0.85326,0.6853,0.29602,0.88882,0.000332296,0.000332296,0.000332296
29,514.083,0.72789,0.3557,0.91496,0.99988,1,0.995,0.84878,0.69648,0.30114,0.89306,0.000318158,0.000318158,0.000318158
30,531.957,0.72727,0.3531,0.90784,0.99894,1,0.995,0.85772,0.68591,0.29903,0.88704,0.000304021,0.000304021,0.000304021
31,549.609,0.72333,0.35127,0.90044,0.99976,1,0.995,0.8592,0.66641,0.28879,0.88272,0.000289884,0.000289884,0.000289884
32,566.071,0.70862,0.34686,0.90655,0.99989,1,0.995,0.8604,0.67399,0.29176,0.88591,0.000275747,0.000275747,0.000275747
33,582.959,0.71163,0.35062,0.90033,0.99981,1,0.995,0.85567,0.69397,0.28992,0.89118,0.00026161,0.00026161,0.00026161
34,599.699,0.7178,0.34534,0.90545,0.99869,1,0.995,0.85974,0.67792,0.2919,0.88271,0.000247472,0.000247472,0.000247472
35,616.293,0.70427,0.33877,0.89587,0.99989,1,0.995,0.85575,0.65728,0.28164,0.88031,0.000233335,0.000233335,0.000233335
36,633.283,0.69001,0.33603,0.8933,0.99985,1,0.995,0.86038,0.65978,0.27876,0.88022,0.000219198,0.000219198,0.000219198
37,650.3,0.68793,0.33426,0.89094,0.99987,1,0.995,0.8651,0.64246,0.27646,0.87977,0.000205061,0.000205061,0.000205061
38,667.223,0.66711,0.32138,0.88409,0.99988,1,0.995,0.86394,0.66537,0.27823,0.88148,0.000190924,0.000190924,0.000190924
39,684.029,0.67144,0.32742,0.89223,0.9999,1,0.995,0.87376,0.64726,0.26996,0.87642,0.000176786,0.000176786,0.000176786
40,701.673,0.67003,0.31703,0.88111,0.99989,1,0.995,0.8725,0.63963,0.26927,0.87367,0.000162649,0.000162649,0.000162649
41,720.234,0.62322,0.2879,0.84954,0.99988,1,0.995,0.86651,0.64985,0.27607,0.87801,0.000148512,0.000148512,0.000148512
42,736.103,0.60563,0.28111,0.84643,0.99987,1,0.995,0.87686,0.62968,0.26651,0.87336,0.000134375,0.000134375,0.000134375
43,752.6,0.61849,0.28444,0.85562,0.99986,1,0.995,0.8708,0.64499,0.27085,0.87605,0.000120238,0.000120238,0.000120238
44,770.15,0.59699,0.27322,0.85233,0.9999,1,0.995,0.87828,0.61738,0.26063,0.86947,0.0001061,0.0001061,0.0001061
45,787.537,0.59494,0.27165,0.85196,0.99991,1,0.995,0.8791,0.62164,0.25787,0.86936,9.19632e-05,9.19632e-05,9.19632e-05
46,805.479,0.57294,0.26354,0.84167,0.99991,1,0.995,0.88035,0.62086,0.25642,0.86835,7.7826e-05,7.7826e-05,7.7826e-05
47,823.165,0.562,0.26315,0.83309,0.99991,1,0.995,0.88151,0.60758,0.25245,0.86779,6.36888e-05,6.36888e-05,6.36888e-05
48,840.877,0.57312,0.26198,0.841,0.99991,1,0.995,0.88182,0.60947,0.25272,0.86858,4.95516e-05,4.95516e-05,4.95516e-05
49,858.524,0.56067,0.25478,0.84079,0.99991,1,0.995,0.88582,0.60867,0.25005,0.86709,3.54144e-05,3.54144e-05,3.54144e-05
50,875.943,0.55444,0.25119,0.83858,0.99991,1,0.995,0.88645,0.5988,0.24446,0.86524,2.12772e-05,2.12772e-05,2.12772e-05
