epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1191.9,0.69872,0.34101,0.96373,1,0.99995,0.995,0.88707,0.57008,0.25722,0.87829,0.000417119,0.000417119,0.000417119
44,1219.55,0.66395,0.33439,0.94005,1,0.99973,0.995,0.88777,0.57305,0.25892,0.88999,0.00041005,0.00041005,0.00041005
45,1246.68,0.66443,0.33354,0.95914,0.99944,0.99938,0.995,0.88931,0.57045,0.25424,0.89141,0.000402982,0.000402982,0.000402982
46,1274.06,0.66892,0.328,0.9536,0.99996,1,0.995,0.8868,0.56931,0.25134,0.88852,0.000395913,0.000395913,0.000395913
47,1300.85,0.6482,0.32944,0.94146,0.99999,1,0.995,0.89271,0.55815,0.24879,0.87618,0.000388844,0.000388844,0.000388844
48,1327.87,0.67063,0.33796,0.95708,0.99752,0.99831,0.995,0.89063,0.55931,0.25027,0.88433,0.000381776,0.000381776,0.000381776
49,1354.62,0.65325,0.32385,0.94509,1,0.99986,0.995,0.88997,0.5554,0.24351,0.88071,0.000374707,0.000374707,0.000374707
50,1382.16,0.65731,0.31828,0.93973,0.99995,1,0.995,0.89319,0.56596,0.2453,0.88529,0.000367639,0.000367639,0.000367639
51,1410.01,0.63743,0.31769,0.94076,0.99995,1,0.995,0.89532,0.55247,0.2421,0.87928,0.00036057,0.00036057,0.00036057
52,1437.48,0.65285,0.32361,0.94861,1,1,0.995,0.89616,0.5581,0.24304,0.87876,0.000353501,0.000353501,0.000353501
53,1464.78,0.64376,0.3201,0.93924,1,0.99999,0.995,0.89723,0.53797,0.23979,0.86416,0.000346433,0.000346433,0.000346433
54,1491.77,0.62207,0.30619,0.9259,0.99887,0.99988,0.995,0.90084,0.52701,0.2386,0.86477,0.000339364,0.000339364,0.000339364
55,1519.16,0.62671,0.31069,0.92901,0.99825,1,0.99498,0.8979,0.54055,0.24325,0.87858,0.000332296,0.000332296,0.000332296
56,1546.8,0.64638,0.31231,0.93818,0.99993,1,0.995,0.90292,0.5303,0.23866,0.87091,0.000325227,0.000325227,0.000325227
57,1574.71,0.61053,0.30504,0.91728,0.99993,1,0.995,0.90311,0.53214,0.23357,0.85977,0.000318158,0.000318158,0.000318158
58,1602.06,0.61918,0.30054,0.92135,0.99995,1,0.995,0.90605,0.52594,0.23192,0.86328,0.00031109,0.00031109,0.00031109
59,1629.52,0.61104,0.29664,0.93064,1,0.99996,0.995,0.8959,0.5173,0.23311,0.8673,0.000304021,0.000304021,0.000304021
60,1656.38,0.6002,0.29508,0.92723,0.99994,1,0.995,0.89956,0.51534,0.23284,0.86024,0.000296953,0.000296953,0.000296953
61,1682.89,0.6004,0.29435,0.91838,0.99993,1,0.995,0.90028,0.50682,0.2291,0.86321,0.000289884,0.000289884,0.000289884
62,1709.68,0.60192,0.29765,0.91933,0.99993,1,0.995,0.90506,0.51271,0.22921,0.85748,0.000282815,0.000282815,0.000282815
63,1737.74,0.58901,0.28978,0.91033,0.99994,1,0.995,0.90386,0.50865,0.22797,0.85856,0.000275747,0.000275747,0.000275747
64,1765.9,0.59196,0.28872,0.91057,0.99993,1,0.995,0.90863,0.49341,0.22328,0.85354,0.000268678,0.000268678,0.000268678
65,1793.96,0.5877,0.28477,0.91643,0.9999,1,0.995,0.90827,0.50443,0.22214,0.8579,0.00026161,0.00026161,0.00026161
66,1820.97,0.5916,0.28846,0.91243,0.99991,1,0.995,0.90679,0.50601,0.22371,0.85344,0.000254541,0.000254541,0.000254541
67,1848.36,0.57747,0.29186,0.91039,0.99994,1,0.995,0.90489,0.49149,0.22065,0.84681,0.000247472,0.000247472,0.000247472
68,1875.43,0.56456,0.27914,0.90412,0.99994,1,0.995,0.90075,0.49757,0.22413,0.85143,0.000240404,0.000240404,0.000240404
69,1901.91,0.58402,0.28944,0.91693,0.99989,1,0.995,0.91205,0.49323,0.2213,0.85077,0.000233335,0.000233335,0.000233335
70,1928.96,0.5693,0.28135,0.90307,0.99994,1,0.995,0.91173,0.49299,0.21897,0.84728,0.000226267,0.000226267,0.000226267
71,1956.14,0.56426,0.27753,0.90017,0.99996,1,0.995,0.91272,0.49084,0.21723,0.84664,0.000219198,0.000219198,0.000219198
72,1983.7,0.55263,0.2755,0.90409,0.99995,1,0.995,0.91223,0.4813,0.21329,0.84556,0.000212129,0.000212129,0.000212129
73,2010.83,0.55938,0.27279,0.90339,0.99996,1,0.995,0.91369,0.48378,0.21456,0.84483,0.000205061,0.000205061,0.000205061
74,2037.83,0.54383,0.26542,0.8882,0.99988,1,0.995,0.91133,0.47922,0.2088,0.84298,0.000197992,0.000197992,0.000197992
75,2064.29,0.55374,0.27013,0.89582,0.99974,1,0.995,0.91646,0.47707,0.20782,0.8411,0.000190924,0.000190924,0.000190924
76,2091.41,0.56574,0.27696,0.90268,0.99991,1,0.995,0.9216,0.46594,0.2054,0.83579,0.000183855,0.000183855,0.000183855
77,2118.77,0.53058,0.25799,0.8876,0.99995,1,0.995,0.91953,0.46789,0.20381,0.83821,0.000176786,0.000176786,0.000176786
78,2145.27,0.54219,0.26664,0.89607,0.99995,1,0.995,0.9205,0.46511,0.20404,0.8391,0.000169718,0.000169718,0.000169718
79,2172.31,0.55044,0.26889,0.89683,0.99995,1,0.995,0.92012,0.46205,0.20235,0.83712,0.000162649,0.000162649,0.000162649
80,2198.89,0.53182,0.2607,0.88814,0.99995,1,0.995,0.91943,0.46352,0.20406,0.83695,0.000155581,0.000155581,0.000155581
81,2226.4,0.53097,0.26094,0.89047,0.99995,1,0.995,0.91778,0.46061,0.20132,0.83429,0.000148512,0.000148512,0.000148512
82,2253.67,0.51183,0.25285,0.88648,0.99995,1,0.995,0.92169,0.45797,0.20051,0.8358,0.000141443,0.000141443,0.000141443
83,2280.31,0.53996,0.26246,0.89464,0.99995,1,0.995,0.92229,0.45042,0.19604,0.83444,0.000134375,0.000134375,0.000134375
84,2307.51,0.52493,0.25285,0.88939,0.99993,1,0.995,0.92408,0.45079,0.19616,0.83407,0.000127306,0.000127306,0.000127306
85,2334.83,0.52112,0.25396,0.88231,0.99994,1,0.995,0.92381,0.45227,0.19564,0.83234,0.000120238,0.000120238,0.000120238
86,2362.65,0.52349,0.25361,0.88455,0.99995,1,0.995,0.92868,0.44563,0.19346,0.83001,0.000113169,0.000113169,0.000113169
87,2390.09,0.53618,0.25816,0.89894,0.99982,1,0.995,0.92663,0.44584,0.19363,0.83173,0.0001061,0.0001061,0.0001061
88,2416.85,0.50857,0.24382,0.87748,0.99993,1,0.995,0.92616,0.44433,0.19175,0.83226,9.90318e-05,9.90318e-05,9.90318e-05
89,2443.98,0.50075,0.24765,0.88242,0.99994,1,0.995,0.92545,0.44319,0.19231,0.83395,9.19632e-05,9.19632e-05,9.19632e-05
90,2471.57,0.51071,0.24702,0.88682,0.99993,1,0.995,0.92911,0.43717,0.1907,0.83095,8.48946e-05,8.48946e-05,8.48946e-05
91,2499.35,0.48547,0.22127,0.85316,0.99994,1,0.995,0.9316,0.43852,0.19159,0.83054,7.7826e-05,7.7826e-05,7.7826e-05
92,2526.36,0.47125,0.21412,0.83875,0.99994,1,0.995,0.9318,0.43773,0.19063,0.82977,7.07574e-05,7.07574e-05,7.07574e-05
93,2553.41,0.46418,0.21288,0.83958,0.99994,1,0.995,0.93262,0.43799,0.18917,0.83012,6.36888e-05,6.36888e-05,6.36888e-05
94,2580.22,0.47548,0.21166,0.84239,0.99994,1,0.995,0.93105,0.43447,0.18882,0.8298,5.66202e-05,5.66202e-05,5.66202e-05
95,2607.21,0.46281,0.21417,0.84584,0.99995,1,0.995,0.93311,0.43113,0.18774,0.8302,4.95516e-05,4.95516e-05,4.95516e-05
96,2634.25,0.44538,0.20526,0.84601,0.99995,1,0.995,0.93347,0.43294,0.18712,0.8305,4.2483e-05,4.2483e-05,4.2483e-05
97,2661.58,0.44945,0.20588,0.84767,0.99995,1,0.995,0.93178,0.43513,0.18778,0.83151,3.54144e-05,3.54144e-05,3.54144e-05
98,2688.03,0.4503,0.20525,0.84261,0.9999,1,0.995,0.93325,0.43316,0.1864,0.83235,2.83458e-05,2.83458e-05,2.83458e-05
99,2714.63,0.43664,0.19972,0.84487,0.99993,1,0.995,0.93478,0.42795,0.18549,0.83015,2.12772e-05,2.12772e-05,2.12772e-05
100,2741.44,0.43985,0.19729,0.84651,0.99993,1,0.995,0.93556,0.42429,0.18408,0.82903,1.42086e-05,1.42086e-05,1.42086e-05
